Datasource,Father-Son Pairs,Mother-Daughter Pairs,Father-Daughter Pairs,Mother-Son Pairs,Unique Occupations,Birth Cohort Span
GSS,16175,6620,18557,5517,190,1908-1993
OCG 1,15921,0,0,0,223,1898-1937
OCG 2,21134,0,10780,0,231,1909-1948
NSFH,3362,2286,3917,1880,195,1919-1969
PSID SRC,5715,1434,2272,3382,212,1905-1992
NLSY79,4044,2437,3968,2447,205,1957-1965
NLS young,3470,0,0,2159,195,1941-1952
SIPP,14141,5093,14429,4502,202,1922-1963
NLS older,4532,0,0,0,193,1902-1926
NLS mature women,0,0,4368,0,116,1922-1937
NLS young women,0,2138,3278,0,136,1941-1952
Totals,88494,20008,61569,19887,233,1898-1993
